,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle,real_m2,real_m2_trend,real_m2_cycle,t_bill_3mo,t_bill_3mo_trend,t_bill_3mo_cycle,pce_inflation,pce_inflation_trend,pce_inflation_cycle,unemployment,unemployment_trend,unemployment_cycle
1961-04-01,27.89188839470731,28.5127814523336,-0.02201655073907416,17.042797568199457,17.271365043864314,-0.013322245907295027,4.22275594074655,4.548913957307226,-0.07440053234959909,105.56304329354391,107.68213017083134,-0.0198753069116675,54.58136222429438,54.70886305737192,-0.0023332533278721534,11.814069930271087,11.912307992785943,-0.00828096258240496,1.6173139856444353e-05,1.6405501742225654e-05,-0.014264918032258933,0.023033333333333333,0.028345754130712282,-0.005312420797378949,0.021814646245725378,0.05205269356275141,-0.030238047317026034,0.07,0.058329543853462215,0.011670456146537792
1961-07-01,28.34041700419269,28.719788940751616,-0.013297446806277424,17.090799546702435,17.37768213584272,-0.01664646655834634,4.5389978803837945,4.587143403654584,-0.010551221690454193,105.85724415491885,107.6282592299743,-0.01659181232533058,54.04938515970833,54.2550914142759,-0.0037986703492718377,12.023501892245099,12.03773693059847,-0.0011832341733510887,1.635364569535274e-05,1.6578238014976864e-05,-0.013640021549278458,0.023033333333333333,0.02845743552186063,-0.005424102188527298,0.030729301530142195,0.05238327886780557,-0.021653977337663374,0.06766666666666667,0.05810031077078995,0.009566355895876719
1961-10-01,28.850034533819407,28.935930998958145,-0.002972920071901086,17.37092950676447,17.488723975829398,-0.0067582379995045905,4.617649237808333,4.629256145666548,-0.0025104428936475465,107.03881954579366,107.60403232886215,-0.005266554041323701,53.69118824810305,53.81720880556116,-0.002344386459676606,12.18002877399373,12.164559308052654,0.0012708753149595076,1.6563002793500315e-05,1.6755486031285952e-05,-0.011554268273512136,0.024599999999999997,0.02865907332427114,-0.0040590733242711445,0.04661042320312325,0.052944207451457906,-0.0063337842483346535,0.062,0.05777274071328303,0.004227259286716967
1962-01-01,29.31812570306354,29.161077057338996,0.005371106850518448,17.512606623444963,17.604644114002056,-0.005241737286260317,4.840543658475915,4.675067366482619,0.03478346797218612,107.26155572634288,107.61041167372116,-0.003247108109253105,53.36263932726781,53.3964792967668,-0.0006339499813874383,12.38752008956883,12.292458101062435,0.007703609614041262,1.6792567898411288e-05,1.6936907134032796e-05,-0.00855869334267112,0.02723333333333333,0.028952904290958346,-0.0017195709576250141,0.060689943800071866,0.05370746651342661,0.006982477286645257,0.056333333333333326,0.05734977436394788,-0.0010164410306145524
1962-04-01,29.475814619816767,29.395040641179914,0.0027441092528834865,17.697193355769503,17.725527094606477,-0.0015997497944466588,4.7479173181426,4.7243828904450025,0.0049691153374678,108.14057806636998,107.64803093820582,0.0045650971645887495,52.987394133938004,52.99405419975943,-0.00012568361604614608,12.418886497914762,12.421112343628062,-0.0001792146395382943,1.7057728995443343e-05,1.7122022893023783e-05,-0.003762108842803258,0.02716666666666667,0.029338628254109107,-0.0021719615874424385,0.06187270772267328,0.05464108463827468,0.007231623084398599,0.05533333333333334,0.056836994442845123,-0.001503661109511785
1962-07-01,29.70184068338555,29.63773095670935,0.002160775679636018,17.76827746832227,17.85140302746414,-0.004667403462913278,4.787197745717554,4.777108260008047,0.0021098215481849536,107.42191985643758,107.71733291706468,-0.00274625148580121,52.55370999150567,52.611035875983326,-0.0010902111669213177,12.604675637885881,12.550247850700496,0.004327413052709339,1.72074463931066e-05,1.731023973062124e-05,-0.005955998384104433,0.028399999999999998,0.029814870314061777,-0.0014148703140617787,0.06426802051809366,0.055717454458869296,0.008550566059224364,0.05566666666666667,0.05623934839439128,-0.0005726817277246082
1962-10-01,29.63243263266465,29.889107161091015,-0.008624646484781895,17.9367493915413,17.982286481807158,-0.002535542146666625,4.596153495555786,4.833162932727938,-0.050281347769937534,106.14513057925647,107.81909682551161,-0.01564747922037757,52.088534252320585,52.24849978598762,-0.003066325595300512,12.712834497710682,12.679577706708423,0.0026194289656475966,1.741803179018751e-05,1.750089517396566e-05,-0.004746053016162932,0.02813333333333334,0.030378898095162553,-0.002245564761829213,0.06014136438658668,0.05691348837250535,0.003227876014081331,0.05533333333333334,0.0555608438748094,-0.00022751054147605865
1963-01-01,29.80899995195438,30.149169020798055,-0.011347001568612125,17.94676602616386,18.118141012929016,-0.00950376921715712,4.78005989687549,4.892471391357869,-0.023244495670481813,106.26469568162094,107.95394822123737,-0.01577162029081869,51.62747824784134,51.907468222740164,-0.005408621281856707,12.819058209626794,12.808838201442637,0.0007975690678616587,1.7642301270856252e-05,1.7693230268417064e-05,-0.0028825961069713912,0.029066666666666668,0.03102709492781137,-0.0019604282611447033,0.05484721916904811,0.05821144288026478,-0.0033642237112166684,0.057666666666666665,0.054805130614242754,0.0028615360524239103
1963-04-01,30.01373788403224,30.417753251497953,-0.013371220181150889,18.035017902142894,18.258901330597748,-0.01233739827394853,4.844599867744568,4.954800362402114,-0.022492221544090807,106.47776586431034,108.1214880712732,-0.01531929233226581,51.25597340049877,51.588852786958206,-0.006473452506220223,12.922933079178168,12.937776760220583,-0.0011479717892299846,1.791683794340818e-05,1.7886398649952392e-05,0.0017003658711338687,0.0294,0.03175444066443199,-0.0023544406644319914,0.049811628539247144,0.05959559190573829,-0.00978396336649115,0.05733333333333334,0.05397571614874617,0.003357617184587172
1963-07-01,30.54710479764223,30.69447350786879,-0.004812710539225495,18.267950211938555,18.404391740671496,-0.0074411477990889985,4.958683341129639,5.01983249219899,-0.012256314979161465,106.32791256453712,108.32027636858595,-0.018564526769000445,50.92253820971182,51.293387305606196,-0.007256221987111289,13.194735451340382,13.066138168733232,0.009793909554880464,1.8181333309874825e-05,1.8079484161672147e-05,0.005617601761134239,0.03293333333333333,0.032554689889784966,0.00037864344354836266,0.05780700622781909,0.0610481067326971,-0.003241100504878011,0.055,0.05307789647440725,0.0019221035255927513
1963-10-01,30.619061204238786,30.97867032420474,-0.01167618341099308,18.263098647963773,18.554288499431554,-0.015818391571737145,5.018865016899387,5.087162085443109,-0.013516312121234275,106.7070425451635,108.54785015125029,-0.017103931616294865,50.62179814171091,51.0216034032843,-0.0078668623325715,13.222637822992326,13.193648945538271,0.002194773954777407,1.8307626917012568e-05,1.8271551282532934e-05,0.0019724689264073447,0.03496666666666667,0.033420125663215595,0.0015465410034510713,0.052428646207145935,0.06254504366780836,-0.010116397460662424,0.05566666666666666,0.05211906609805397,0.0035476005686126896
1964-01-01,31.132363687895012,31.269564898335517,-0.0043973458716157765,18.57195048053479,18.708170528153904,-0.007307951271717794,5.13467271313351,5.156321285276726,-0.004207291167507954,108.30440964686308,108.80048636566005,-0.004569934545551213,50.3458646447359,50.77381496502187,-0.008464284636672481,13.340578346457342,13.320108126044673,0.0015356112046367443,1.8476777877398068e-05,1.846169164946713e-05,0.0008168302023872087,0.0353,0.03434326769622141,0.0009567323037785874,0.06759056649647466,0.06406043332992369,0.003530133166550972,0.05466666666666666,0.051107820841217885,0.0035588458254487768
1964-04-01,31.345984068768498,31.56611741911802,-0.006998152773347588,18.82290608370092,18.865416094360675,-0.002255872707018547,5.104505944403582,5.226771334306141,-0.023670083581920798,108.33958465324936,109.07327899603187,-0.00674934422618545,50.117776240129295,50.55010734645844,-0.008589308703082388,13.450641804502963,13.445327443206242,0.00039517901860586235,1.867498419732999e-05,1.8648985660622218e-05,0.0013931283843362507,0.03476666666666667,0.035317602288427105,-0.0005509356217604372,0.07696088665029999,0.06556198358948184,0.011398903060818144,0.05199999999999999,0.050054973775785896,0.0019450262242140942
1964-07-01,31.698189051634373,31.867159242081055,-0.005316437114572192,19.074034662117292,19.02529512111956,0.002558552492299526,5.1590156092351815,5.2979287816168465,-0.02657016036622406,108.56805522931361,109.36097215787909,-0.007276868409874737,49.8732629888747,50.35032589466125,-0.009520044415942674,13.606432566791637,13.569126758296393,0.002745542896339437,1.8938666861093063e-05,1.8832491201511417e-05,0.0056220642781834584,0.03496666666666667,0.03633721369714725,-0.001370547030480583,0.08050981592863415,0.06701960865015072,0.013490207278483435,0.05,0.048973562252285864,0.0010264377477141387
1964-10-01,31.657380912759873,32.171334549325046,-0.016104499074711676,19.021468017499195,19.18702497741642,-0.00866603119101983,5.2201249168211135,5.369098110703091,-0.028138612792200757,109.14700853950553,109.65779834951621,-0.0046689169690186105,49.64534468031666,50.17407796894113,-0.010593894847056973,13.563747189452691,13.69132506844834,-0.009361839849394205,1.9155227740996328e-05,1.9011252576510787e-05,0.007544622727866823,0.036833333333333336,0.03739584184493283,-0.0005625085115994952,0.07419067860704698,0.0684103470300112,0.00578033157703578,0.04966666666666666,0.04787783926263577,0.001788827404030885
1965-01-01,32.28731152424151,32.47712625514644,-0.005861713029887472,19.329069675522568,19.3498266272584,-0.0010732960716328677,5.692056137450467,5.439456209530865,0.045392448308549715,110.38449982911477,109.9574298593663,0.0038764342777728444,49.45019124083972,50.02070803192512,-0.011471154906831593,13.751583678735166,13.811761132942319,-0.004366491093983793,1.935856258281123e-05,1.9184354054302015e-05,0.00903977851354476,0.038900000000000004,0.038486370062440795,0.0004136299375592095,0.07540398567499462,0.06971966862669324,0.005684317048301385,0.048999999999999995,0.046782699322345966,0.0022173006776540286
1965-04-01,32.56308109566769,32.78262880756587,-0.006719600669315096,19.472177629927693,19.512788423390923,-0.0020834086707814947,5.665921080055454,5.50804176386218,0.028260309385409688,111.02713018144516,110.2531484129746,0.006995516543659264,49.384866627735704,49.88926696514087,-0.010161855050174307,13.823199983086914,13.930189284320154,-0.007710037155980398,1.951192690048376e-05,1.9350948569276403e-05,0.008284474576630174,0.038733333333333335,0.03960133011250834,-0.0008679967791750051,0.07141945742216627,0.07093665604506248,0.0004828013771037837,0.04666666666666666,0.045704154964054305,0.0009625117026123564
1965-07-01,33.17835881623984,33.08574432840138,0.0027953158270972445,19.739211359740708,19.674954802843686,0.003260584712619252,5.810882991669638,5.574007574471371,0.04161824927635105,110.92688557552756,110.53843161202211,0.00350803788880949,49.350947308325324,49.778486099504015,-0.008625923249059309,14.096049901531346,14.046320073148602,0.0035341643357864605,1.9750841656576294e-05,1.9510282457254785e-05,0.012254473868711813,0.03866666666666667,0.04073351227668364,-0.002066845610016972,0.07055823179370924,0.07205394458813971,-0.001495712794430476,0.04366666666666667,0.04465960453332217,-0.0009929378666554967
1965-10-01,33.82856692634292,33.384160029413934,0.01322408399108932,20.149082076666,19.835313383771638,0.015694879470937284,5.862016517997788,5.636573062458773,0.03921739229484422,111.60594636545251,110.80717668506259,0.007182787630852339,49.35313165041313,49.68681758071241,-0.0067384362676943255,14.315171878933675,14.159789476342485,0.010913724724071372,1.997803793179909e-05,1.9661693238473025e-05,0.015961329709485383,0.04166666666666667,0.04187516433852788,-0.0002084976718612075,0.09725600078284045,0.07306447130980642,0.024191529473034032,0.04100000000000001,0.043667047945525075,-0.0026670479455250667
