Year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Côte d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1986,5287.18,23992.79,19349.93,918.05,18558.85,1566.44,974.3,1245.2,2184.86,6046.42,12427.82,3912.87,1154.71,26983.12,32321.12,5849.77,2297.96,2440.86,2756.51,1715.49,2340.94,6661.75,2525.99,1977.63,7448.25,16139.88,20596.71,23695.37,4852.49,10003.7,4845.79,1878.16,13142.94,913.05,21252.05,4942.34,21715.34,8680.08,21081.03,1826.09,2048.28,1881.74,1262.58,633.23,14737.91,3454.35,19109.09,2685.95,1452.13,2553.93,1079.03,13538.96,2649.0,28510.22,18913.94,20609.11,3892.8,4400.98,20396.58,2149.15,8053.72,2898.66,1573.31,25948.84,3714.28,1222.54,10023.44,817.36,11203.62,548.34,2085.5,7156.54,1270.2,6560.93,4409.7,917.65,1512.54,4356.93,21707.07,26143.12,949.13,19087.61,2365.55,6513.47,4068.75,2859.75,10678.45,3319.31,7077.28,1162.73,2075.39,19203.21,970.21,24151.94,11590.09,1552.85,1332.69,1388.21,3865.43,13924.97,4804.06,9142.27,13960.63,1232.8,772.45,8138.69,33399.81,7762.83,8260.8,1468.53,3209.23
1987,5550.92,25586.39,20161.29,885.44,19674.07,1411.81,931.75,1223.74,2231.56,6119.55,14472.94,4190.63,1051.93,28532.33,32986.43,6197.67,2380.01,2323.12,2559.42,1631.0,2340.38,6588.58,2436.65,2037.93,7270.48,17250.14,21459.9,24423.0,5223.78,9008.78,4551.7,1858.87,14091.87,861.51,22233.63,4903.09,22260.09,8245.39,22233.36,1851.27,2078.73,1780.91,1269.42,491.82,14585.73,3493.81,21893.91,2747.2,1452.62,2600.95,1125.15,14462.34,2802.21,31635.77,20128.06,21659.66,4258.3,4949.18,21759.75,2099.17,9190.36,2988.58,1547.26,26719.78,3738.63,1112.61,9944.36,775.92,11289.52,505.47,2085.87,8832.49,1137.48,6869.51,5230.66,895.32,1154.26,4433.74,21842.55,26676.92,944.22,19853.22,2440.83,6869.2,4448.65,3071.8,11521.48,3396.62,7183.16,1074.62,2067.74,21136.73,958.16,25217.2,13610.08,1423.67,1308.72,1342.95,4135.51,12174.52,5031.46,9893.62,15977.21,931.63,799.41,9006.03,34233.04,7739.04,8557.73,1457.93,3058.82
1988,5814.82,26701.83,21452.92,930.98,21276.39,1418.5,962.23,1247.53,1965.0,6032.18,15077.86,4496.52,1086.43,29644.28,33462.91,6686.87,2417.25,2294.91,2372.19,1690.84,2125.31,6672.46,2399.83,2055.29,7275.25,18108.77,22529.41,24519.06,5408.58,7917.8,4622.95,1783.53,15096.79,834.78,23888.48,5100.46,23292.75,7251.47,23224.68,1956.19,2182.54,1738.05,1417.23,589.16,15566.44,3432.63,22411.49,2868.26,1451.19,2645.81,1194.59,15060.1,2402.87,32229.81,20536.23,22635.05,4401.45,5031.02,23905.96,2147.72,10291.23,3010.98,1758.63,29501.3,4081.08,1082.92,9754.95,685.55,12225.07,512.91,2074.11,8916.3,1024.27,7260.93,5179.17,867.98,1052.47,3345.94,22595.39,25480.19,996.67,20700.27,2531.97,5995.28,4136.66,3314.52,12455.72,3524.09,7275.62,1041.34,2094.83,22066.29,993.77,26229.08,13885.57,1442.05,1381.62,1371.86,4540.12,11183.43,5150.37,9880.24,16811.7,1217.07,818.88,8889.24,35290.39,7802.16,8687.83,1561.1,3501.08
1989,5528.96,27208.51,22580.27,866.8,21924.31,1247.51,948.18,1368.36,2021.94,6088.15,16796.81,5580.63,1124.27,30337.76,34269.84,7195.23,2363.34,2431.19,2332.87,1690.7,2128.89,6686.35,2288.51,2166.29,7546.8,19975.62,23395.16,24732.69,5107.09,7993.09,4625.95,1923.78,16092.19,819.05,24794.6,5591.36,24056.71,9185.41,23766.95,1884.26,2128.7,1712.94,1382.5,613.38,16316.64,3628.81,23606.36,2868.34,1340.02,2824.57,1254.28,16055.55,2602.43,30489.04,19853.58,23584.85,4406.88,5128.01,25620.02,2098.26,11133.34,3058.12,1828.69,32966.77,4086.82,1022.52,9878.77,728.49,13138.05,552.92,2070.19,9273.06,1050.01,7773.93,5080.04,830.26,994.36,3042.73,23446.75,26388.81,1056.26,20754.43,2571.98,5904.33,3370.27,3524.25,13276.92,3544.74,6955.61,1093.94,1991.62,22174.4,990.66,26850.29,15350.63,1340.73,1405.42,1415.94,4896.74,10337.51,5283.36,9590.18,18153.59,1111.59,814.27,8884.89,36173.79,7197.56,8579.31,1282.61,3793.2
1990,6101.74,26855.72,23834.44,874.13,22917.32,1244.9,918.14,1398.13,2111.59,5878.61,16834.7,5893.02,1083.51,30179.19,35762.26,7247.13,2332.02,2171.75,2345.72,1266.79,2143.49,6783.75,2149.66,2074.57,7592.05,20237.95,25045.73,25495.66,4759.3,8224.28,4817.15,2162.67,16971.16,899.95,24773.16,6288.62,24726.6,10777.19,24261.23,1868.29,2100.52,1707.55,1415.03,466.29,16425.06,3736.7,25534.85,2953.07,1339.17,3154.54,1310.74,17329.58,3117.76,30151.62,21291.32,24710.5,4767.5,4159.99,27630.6,2129.88,12338.57,3138.34,1909.71,34327.47,4082.79,1040.84,10282.32,752.23,13148.7,532.23,1964.64,10029.11,971.74,8481.98,5013.07,842.58,1037.06,3020.14,24825.17,29164.39,1060.56,20767.27,2558.23,6260.58,3345.54,3764.71,14051.05,3849.2,7017.36,1043.66,1979.88,25586.92,914.97,27213.83,15571.44,1299.63,1380.28,1447.41,5340.58,10651.91,5560.96,10127.71,19879.3,1144.79,812.39,8759.41,36399.6,7552.03,8425.95,1234.84,4136.28
1991,7095.13,26529.58,24820.2,896.03,23238.4,1270.51,958.81,1413.31,2210.27,6147.98,16995.88,6166.11,1040.16,29020.34,35121.12,7692.5,2450.53,2151.02,2202.75,1027.32,2229.45,6685.95,2078.4,2044.89,7535.5,19260.13,26274.39,25610.87,4794.51,7838.02,4892.37,2478.65,17752.44,781.93,22628.72,5824.71,24731.28,10964.23,23812.03,1959.81,2071.33,1697.61,1391.68,387.72,17380.46,3886.08,26788.48,3018.67,1308.46,3380.03,1308.91,17576.51,3579.45,30396.1,22611.2,25469.74,4815.05,3363.26,29302.08,2107.78,13644.74,3209.41,1950.81,37839.16,4473.23,964.07,10475.04,712.76,13969.31,557.59,1977.87,10600.81,1018.15,9077.94,4777.45,823.16,819.23,3089.05,25460.44,29137.9,1123.73,20073.86,2496.13,6833.95,3433.01,3751.14,14605.82,3878.18,6310.72,939.77,1887.6,23540.15,928.14,26848.51,16052.06,1113.8,1409.16,1336.74,5627.95,10322.93,5674.29,9650.81,20994.88,1108.5,801.6,9164.97,35915.29,7931.82,8187.1,1218.85,4820.78
1992,8255.97,27282.4,25732.27,861.09,24039.19,1270.6,932.45,1418.94,2272.42,6228.75,17044.54,6231.96,973.35,28958.13,34925.01,8478.87,2651.56,2171.27,2105.33,1210.75,1847.71,6864.94,2018.48,2181.62,8060.05,20079.67,27028.94,26669.35,5457.12,7581.46,4973.24,2672.32,18180.75,681.73,21725.49,5917.76,25108.34,10104.81,23966.09,1946.77,1978.18,1687.09,1101.45,473.56,17519.36,3949.19,28396.72,3031.61,1272.22,3548.36,1363.91,18742.47,3811.81,28869.87,23739.88,25951.69,5314.31,3577.86,30298.67,1994.92,14529.39,3392.15,1879.27,38264.85,4420.56,907.61,10668.42,764.67,13693.52,488.92,1964.46,10891.43,894.33,9419.06,4938.05,787.83,735.57,3010.84,25648.88,29934.01,1111.73,20316.35,2586.17,7180.16,3446.09,3833.93,14990.61,3881.34,5943.43,1053.16,1851.37,22641.23,1003.65,26469.84,15744.9,1112.89,1380.23,1309.23,6186.41,9772.69,6195.34,9912.17,22279.81,1002.04,806.52,10250.24,36870.37,8058.05,7856.14,1086.53,4303.68
1993,9395.05,27989.67,26161.56,784.09,24185.23,1265.34,937.54,1423.52,2381.16,6620.74,17588.96,6251.4,930.57,29307.77,35202.32,8896.57,2906.5,2074.17,1993.36,923.49,1777.97,7207.5,1915.91,2252.5,8406.63,19414.49,27147.1,26449.34,5834.79,7086.32,4744.35,3010.65,18424.55,709.39,21590.02,5864.45,24987.48,10004.83,24797.67,1934.29,1966.9,1703.83,1301.19,526.71,17785.67,4094.87,29914.14,3198.12,1217.99,3722.36,1427.79,19803.59,4769.07,29051.78,24237.35,25930.35,5301.03,3589.48,31156.42,2048.94,15691.31,3601.15,2023.77,40559.23,4402.57,915.39,10564.51,886.73,14538.74,498.95,2115.19,11475.57,957.34,9981.51,4421.99,764.16,603.57,2877.75,26408.84,30010.56,1168.6,21539.81,2599.94,7336.23,3613.96,3976.13,15270.53,3988.92,6114.98,1025.29,1752.7,21548.8,1161.87,25651.35,16931.37,1044.49,1318.76,1051.6,6669.26,9064.53,6514.43,10695.87,23372.56,940.08,817.68,10546.39,37562.53,7577.29,7867.42,1049.9,4281.66
1994,10790.61,29010.98,27334.65,796.06,24778.32,1102.53,869.91,1458.33,2536.02,7369.1,18654.28,6334.74,1058.28,30439.31,35915.05,9549.08,3040.42,1974.86,1858.65,744.56,1446.39,7476.06,1719.17,2562.39,8649.5,20130.13,28071.83,27729.61,6013.77,6971.26,4885.05,3380.47,19185.38,623.33,22953.67,6057.05,25428.77,8860.35,25604.99,1955.01,1969.99,1674.97,1424.09,359.47,18570.47,4172.05,30557.94,3195.28,1044.46,4004.08,1501.69,20667.73,4934.83,29694.1,25080.16,26758.29,5311.59,3648.73,32073.4,2289.12,17227.09,3842.54,2065.81,42492.25,4853.91,889.78,10727.9,849.48,14891.32,537.03,2161.8,12013.02,1107.54,10463.45,4491.86,755.19,527.62,2988.57,27012.92,30995.1,1373.13,22604.3,2569.14,7390.09,4144.73,4327.78,16147.44,4115.3,6448.03,499.16,1709.92,19664.48,1226.61,27109.32,17468.25,935.9,1312.31,1153.02,7207.43,9013.77,6979.42,9904.99,24183.44,877.74,1061.11,11354.64,38759.76,7073.55,7877.09,966.48,4622.75
1995,11890.87,30292.22,28544.47,716.88,26032.96,1183.31,927.75,1495.02,2782.0,8462.69,19394.84,6771.38,1057.35,31749.37,36251.19,10815.29,3346.03,2203.31,2005.09,741.52,1500.71,7684.0,2026.31,2283.07,8726.83,20799.85,29118.36,28828.75,6059.7,7170.72,4887.51,3958.57,20183.04,668.89,25691.97,5925.61,25995.84,9722.38,26842.0,2012.46,1990.0,1697.47,1411.69,633.43,19155.72,4355.79,31245.72,3468.33,1329.03,4325.0,1589.64,23648.36,5067.63,29504.31,25577.98,27958.43,5228.0,3715.57,33557.84,2142.4,19047.79,3867.41,2191.95,42500.78,4724.91,893.26,9579.37,944.94,14999.81,479.16,1973.88,12675.5,1052.72,11358.69,4857.45,787.85,456.55,3113.09,28379.3,33388.77,1436.03,23570.93,2659.44,7210.25,4573.68,4671.33,16688.58,4194.68,6881.24,627.93,1712.02,20413.05,1411.46,29002.63,15428.92,1001.76,1345.02,1146.75,8116.52,9071.66,7478.25,10445.16,25449.43,917.98,1042.25,11217.14,39437.61,7364.17,8145.06,958.95,4459.29
1996,15047.84,31489.07,29032.11,641.12,25972.31,1210.78,1004.19,1506.3,3051.53,10024.05,22061.8,7572.13,889.3,32068.76,36554.3,11155.22,3452.76,2316.97,2066.77,664.68,1816.53,7572.38,1874.99,2708.44,8333.66,20170.18,29433.71,29767.04,6188.18,7428.09,4902.34,4708.78,20847.34,646.44,25559.59,6114.66,26431.42,10697.28,28262.02,1945.14,2094.92,1672.8,1456.96,1024.99,19530.04,4360.9,31949.33,3237.71,1499.1,4639.58,1698.86,25320.76,5977.2,30069.93,26644.85,28503.06,5282.66,3575.84,34034.82,2174.68,20152.88,4048.38,2230.84,42956.59,5453.08,913.05,9626.28,1012.89,14867.78,547.22,2166.87,14211.15,996.52,12076.21,4977.9,750.1,443.66,3190.28,29463.97,37366.13,1532.16,24179.79,2748.36,7501.73,4756.24,5018.49,17055.29,4142.38,7122.41,727.53,1777.27,24078.06,1532.54,29844.81,13973.12,1000.58,1230.23,1338.57,8879.35,8883.41,8443.68,11563.53,26952.9,932.5,1013.77,11814.75,40545.92,7183.31,8372.56,1002.14,4909.73
1997,15444.03,32598.06,30420.42,634.48,27039.79,1300.88,1071.5,1471.42,3039.17,9544.11,22862.14,7934.31,912.82,32906.88,37877.65,11222.84,3595.42,2285.01,2094.63,653.55,1656.35,7626.64,1927.53,2568.99,8550.26,20731.71,30264.88,31097.41,6668.74,7082.0,4995.31,4771.24,22299.87,677.55,27716.84,5868.57,27773.96,9126.92,30148.65,2230.73,1859.12,1687.38,1657.59,2187.57,21105.11,4498.0,32085.85,3292.89,1536.25,4628.43,1770.91,28035.77,6138.91,32318.28,27489.52,29524.95,5099.13,3715.7,34215.75,2158.82,20865.86,4169.37,2234.52,44897.35,4996.7,931.4,10103.55,1071.45,17347.86,609.78,2011.09,14041.23,1072.85,12326.38,4989.83,735.68,463.68,3268.03,31299.77,39311.09,1498.3,24755.38,2676.08,8122.82,4997.3,4872.1,18345.38,4152.39,7070.95,793.05,1773.94,25144.11,1670.73,30778.56,16406.62,1180.09,1307.11,1418.42,8033.47,9061.85,8368.34,11898.8,28376.63,991.7,1036.27,11843.68,41911.83,7212.76,8464.21,1103.42,4138.57
1998,15312.09,33273.98,31494.29,690.96,27043.52,1322.83,1118.4,1429.46,3050.47,9029.58,20894.41,8067.32,938.99,32988.31,38792.47,10950.82,3569.3,2313.38,2132.72,585.83,1281.79,7342.25,1682.16,2822.06,9263.34,20294.61,31162.75,31939.61,7229.24,7242.0,4913.5,4764.18,23686.41,596.87,29784.5,5698.45,29135.44,7676.76,31017.94,2138.92,1774.15,1618.91,1365.6,1669.0,21837.27,4665.03,29812.34,3320.8,1503.65,3677.6,1868.36,30414.01,6213.72,33417.2,27978.78,31008.32,5129.64,3669.63,33309.82,2117.88,18812.81,4405.17,2276.05,48903.08,4972.9,961.89,10577.95,1105.26,18348.64,619.4,2009.44,14234.84,892.79,10447.48,5057.1,790.33,428.15,3378.01,32126.55,37056.86,1415.51,24877.1,2724.3,8635.14,4822.88,4354.42,19102.56,4225.05,7167.06,788.31,1790.3,27218.97,1737.54,31979.05,17243.14,1166.19,1261.7,1213.01,6685.13,8939.23,8264.93,11429.64,29424.54,1047.09,1100.99,11951.68,43266.68,6514.04,8437.31,1031.99,3522.31
1999,14271.08,34451.08,32546.77,683.11,27948.06,1408.98,1155.43,1357.78,2997.5,8585.39,21287.66,8721.65,906.76,34697.58,39359.78,10308.21,3790.58,2235.26,2163.45,590.1,1559.43,6830.66,1672.72,3239.81,9656.91,21902.43,32223.96,33068.71,7560.14,7398.57,4615.31,4908.48,24582.3,589.91,31022.88,6048.83,30095.13,8761.49,32129.89,2353.78,1615.88,1728.09,1533.24,2813.4,22321.07,4810.51,29366.45,3198.19,1657.42,3639.02,1967.87,32486.77,6689.56,35188.06,28824.46,31701.76,5214.32,3722.06,33068.56,2088.66,20874.74,4392.25,2277.17,54406.14,4706.49,985.93,10697.14,1090.78,19512.4,585.05,2101.62,14050.6,899.93,10664.86,5050.31,772.91,673.08,3496.2,34152.51,40867.64,1383.02,26112.19,2723.53,8754.89,4743.99,4145.6,20216.79,3923.24,7433.49,747.41,1816.28,27394.77,1837.74,33615.39,18132.12,1284.86,1259.32,1292.11,6794.68,10479.75,8314.78,10757.06,30360.99,1093.18,1125.75,11227.19,44722.4,6523.25,8403.4,942.19,3208.25
2000,14044.16,35196.87,34473.9,647.79,29843.77,1531.58,1171.99,1376.83,2989.04,8576.13,21318.07,9227.98,917.87,36726.22,40013.88,10561.93,4022.4,1980.05,2194.57,488.74,2206.23,6940.2,1580.64,3452.57,9440.4,25009.12,33013.43,35014.81,7534.27,8156.84,4930.1,4981.89,26071.13,555.74,32452.65,6115.12,31797.52,10290.53,34387.77,2490.88,1534.33,1846.36,1470.83,4275.75,23424.25,4959.36,32676.3,3364.42,1906.37,3504.32,2023.25,35921.47,7486.66,34964.51,31140.89,32673.6,5327.07,3888.83,33818.03,2015.81,22403.85,4390.29,2302.38,60402.71,4483.04,1001.43,11704.27,1034.85,23828.26,655.0,2083.57,14095.15,866.69,11926.39,5168.65,721.0,975.82,3542.74,37536.58,50477.45,1387.41,26333.69,2743.04,9081.01,4814.36,4175.3,21367.82,3717.58,7713.04,763.02,1862.39,36094.59,2032.01,36032.91,18297.47,1617.74,1168.98,1196.29,6924.6,12786.03,8366.57,11812.1,31937.08,1140.05,1156.23,10695.32,46065.8,7743.92,8716.61,1132.17,2605.98
2001,13060.72,35982.97,33689.06,645.75,29883.77,1589.32,1176.51,1390.73,3061.61,8400.29,19308.87,9052.96,914.94,36116.79,39716.97,10383.84,4311.36,2158.83,2193.21,476.3,2060.14,6876.94,1714.69,3542.29,9249.48,25807.05,33588.5,34882.23,8120.84,8090.78,5195.42,5146.72,26807.37,624.39,32791.63,6061.48,32677.21,9099.99,35191.77,2281.61,1396.38,1856.81,1465.85,6180.32,24563.19,5128.17,34983.85,3349.02,1837.32,3539.71,2087.84,38002.13,8449.16,36159.39,31103.45,33316.54,5302.31,4059.75,33458.16,2045.88,22973.21,4330.48,2454.79,55992.34,4537.84,1030.22,11626.3,1146.54,21243.56,691.26,2059.46,13662.19,777.19,11522.65,5255.09,761.02,1010.46,3572.73,37947.36,51142.44,1300.08,26907.39,2705.26,9059.21,4785.09,4121.24,21485.1,3840.03,8546.99,805.7,1884.25,33309.49,2123.95,35303.62,15740.19,1843.33,1232.63,1166.45,7084.6,12160.48,8424.17,11223.83,30691.46,1206.43,1193.0,10186.3,45932.42,7397.19,8895.23,1207.15,2688.96
2002,11113.34,36554.4,34404.36,649.23,30787.33,1697.42,1194.48,1437.55,3156.49,8369.72,17894.54,10522.65,900.99,36044.83,40086.77,10338.53,4760.09,2118.4,2205.68,478.46,2029.54,6864.35,1796.11,3619.7,9167.77,25083.42,33665.33,35111.7,8057.41,8242.98,5607.5,5199.35,27589.66,536.31,32795.73,5996.31,32926.24,9359.47,35190.38,2320.12,1309.9,1714.51,1393.26,8757.96,25973.67,5199.71,37120.19,3434.81,1807.89,3543.64,2171.72,42167.17,9741.53,36018.26,30787.19,31983.55,5347.59,4437.89,33505.58,1945.6,24649.2,4538.51,2477.06,55501.74,4433.23,923.09,11532.12,1120.87,21700.84,816.71,2156.96,13563.15,919.18,11935.15,5361.86,773.02,1195.48,3517.15,37890.8,49089.89,1274.47,27403.42,2762.28,9355.94,5025.45,4088.06,21536.45,4910.67,8856.13,919.35,1835.6,35346.23,2355.63,35489.22,16037.13,2217.24,929.16,1207.85,7495.95,12509.3,8179.66,10987.25,31596.82,1289.4,1221.01,9364.61,46139.55,6888.87,9343.24,1302.77,2056.85
2003,11915.24,37631.65,34583.94,663.98,31133.03,1748.1,1215.9,1454.14,3254.33,8213.6,17286.13,10265.9,846.33,37480.92,40058.99,10818.83,5158.08,2052.35,2274.18,506.08,2091.46,7015.75,1639.3,3759.88,9412.48,22712.54,34383.13,34697.07,7594.12,8905.27,5875.62,5288.41,27143.76,552.87,32877.04,5630.84,31401.26,10258.92,35132.48,2342.95,1171.01,1894.84,1377.58,9583.5,25526.54,5271.1,38657.63,3537.83,1792.1,3540.74,2344.76,45081.43,10925.16,34885.43,29084.42,31570.68,5855.67,4411.8,33952.99,1859.5,25436.57,4847.96,2458.64,53129.64,4553.21,1015.56,11735.2,1120.07,21661.25,871.49,2379.55,13329.11,928.36,12495.67,5351.05,774.2,1603.73,3544.84,37338.86,52687.94,1381.33,27790.98,2792.27,10306.13,5286.69,4104.03,21122.8,5083.36,9299.12,903.18,1861.92,31918.4,2607.27,36305.41,16627.92,2623.1,1050.9,1135.53,8194.66,16341.5,8278.71,10324.98,32170.8,1346.86,1245.14,9281.28,47007.14,6638.47,9453.62,1417.64,1696.53
2004,12909.24,38412.02,35593.92,675.84,31505.68,1807.0,1243.32,1467.41,3398.04,8531.4,17716.86,10618.05,856.4,38712.95,41238.66,11932.79,5704.53,1959.65,2279.77,537.74,2500.27,7259.11,1571.62,4014.73,9675.34,23042.94,35361.96,36082.44,7784.92,9264.59,6463.05,5459.01,27601.87,626.22,34434.74,5623.52,31995.7,12139.64,35982.99,2510.02,1105.6,2213.94,1400.13,14997.92,26457.61,5366.52,45053.05,3685.12,1691.32,3810.17,2492.72,46680.24,12041.35,36637.13,28464.62,31524.97,5966.0,4840.02,34733.07,1893.27,26766.53,4993.63,2412.47,50734.96,4498.05,1082.4,12426.03,1150.99,20242.81,881.67,2403.03,13225.87,1042.45,13399.76,5754.57,720.41,2278.98,3622.26,37948.02,56042.13,1323.5,27577.38,2964.74,10345.37,5656.86,4142.71,20811.36,5268.59,10184.33,968.56,1858.97,36880.61,2810.16,37882.46,16183.81,3553.05,1469.29,1145.88,8747.41,17972.47,8385.6,11541.76,33637.22,1386.26,1275.9,9602.74,48392.47,8389.04,9833.59,1444.4,1577.95
2005,13953.6,40624.06,37306.32,638.74,33721.98,1836.45,1314.6,1507.01,3574.84,8707.2,17690.05,11921.73,860.2,41020.81,43635.39,13228.34,6287.87,1970.03,2312.52,589.07,3386.31,7650.18,1584.25,4071.35,10263.7,25159.26,37094.85,37713.44,8535.19,10483.78,7277.54,5688.38,29215.84,732.74,35739.47,5472.32,33339.38,16081.66,37726.25,2532.01,1073.48,2151.1,1372.82,21989.99,25905.7,5491.65,47627.24,3973.63,1743.76,4089.19,2774.99,49606.06,13918.95,37617.34,28218.45,32125.68,6304.49,5943.24,35187.44,1976.33,28399.16,5081.68,2439.63,54683.69,4422.83,1113.79,13289.8,1177.89,22117.23,934.58,2711.88,12720.46,1086.81,15023.38,6233.58,717.1,3382.09,3794.63,41674.0,67325.62,1322.96,28265.76,3219.02,12555.3,6185.48,4224.25,22828.07,5439.42,10568.86,1032.63,1972.28,49215.66,3327.31,37525.9,18163.7,5359.14,1746.68,1136.94,9463.97,22449.13,8609.75,12541.35,35768.73,1519.75,1363.04,10144.06,49582.5,10526.7,10429.4,1581.93,1299.53
2006,15006.95,41141.15,37952.67,590.03,32286.27,1830.64,1339.09,1624.66,3706.7,9393.01,16694.16,12124.9,867.26,41153.23,45687.3,15242.15,6883.48,2027.32,2386.41,383.43,3909.36,8303.46,1634.04,4253.04,10524.76,25802.83,38002.65,38803.17,9361.84,11406.97,7757.88,6102.52,31049.1,725.9,36113.56,5968.92,33710.25,15290.04,37969.28,2378.87,1068.48,1983.65,1329.42,23533.89,27655.11,5683.38,43246.61,4041.27,1706.95,4464.43,3055.01,49484.53,14747.17,34525.53,28307.71,32982.88,6652.91,6453.92,35485.41,2136.59,29056.15,5533.93,2501.13,54151.31,4816.08,658.15,13849.81,1248.8,21671.11,944.59,2931.65,13345.1,1076.57,14938.46,6706.93,732.68,3528.96,3802.37,42496.55,72206.97,1385.6,28188.94,3491.43,13516.51,6942.47,4360.06,23567.8,5681.89,11964.73,1142.86,1954.14,53103.38,3698.47,38466.31,20132.43,5038.57,1635.47,2250.43,9975.55,26461.14,9015.13,13664.78,35958.26,1623.46,1409.74,10694.15,50469.92,12260.53,11029.5,1783.69,1010.95
2007,16255.43,41930.65,39323.9,555.81,33449.86,1888.56,1297.24,1795.32,3874.76,10347.88,18015.34,12353.99,886.4,41973.78,50097.98,16319.52,7579.92,2059.49,2388.47,328.38,3262.26,9051.16,1523.16,4836.89,10961.97,26088.47,40500.41,39814.95,10122.37,11668.42,8022.75,6851.27,33180.33,855.37,39010.27,5907.82,35509.94,15974.08,37665.44,2470.23,1119.9,1936.62,1311.85,27587.3,28151.89,5944.87,45956.85,4235.17,1740.09,4918.2,3361.6,53823.52,16314.15,36466.72,28603.48,34915.03,6919.5,7403.52,36228.44,2228.33,30461.52,6025.45,2411.74,57170.14,5108.7,535.59,14275.75,1302.4,22289.16,961.96,2834.78,14658.26,1240.41,16167.34,6918.48,722.51,4416.28,3947.8,45660.92,73431.59,1468.02,29865.66,3691.83,12817.53,7647.52,4630.92,24603.22,5773.18,13467.32,1067.96,2019.21,56960.02,4253.57,40916.66,23307.85,5268.08,1678.34,1346.61,10672.18,29456.13,9513.16,14465.63,36976.16,1763.3,1455.67,11765.85,50918.74,13814.65,11505.79,2324.14,1178.57
2008,16966.63,43646.34,40846.55,577.91,36525.14,1893.89,1297.21,1994.5,4305.63,11392.63,16890.89,12217.88,877.19,43649.53,54220.26,15773.38,7865.5,2263.92,2400.68,347.38,3846.14,9759.54,1555.79,5315.91,11360.93,28912.3,41714.18,42057.29,10180.51,12303.66,8819.48,8018.0,33513.26,959.89,40380.3,6213.11,35790.22,18689.08,37669.59,2676.49,1205.74,1870.38,1301.2,37267.41,29271.17,6095.01,43641.72,4016.6,1675.63,5802.71,3683.35,50340.82,16473.12,40961.59,28448.13,35677.21,6837.59,9362.31,35440.79,2265.73,30161.68,6455.14,2570.41,55479.76,5777.31,502.89,14591.95,1411.71,22748.86,989.94,2718.31,14927.02,1358.61,17789.45,7581.1,750.88,4463.72,4043.0,47449.43,82570.66,1610.25,29683.99,3846.53,13808.06,8315.27,4871.82,24504.35,5997.88,15585.49,1197.88,2016.81,50431.33,4807.26,41654.21,18217.82,5404.96,1682.21,1121.35,11341.12,35195.18,10102.83,15346.88,35470.04,1838.42,1545.48,13117.5,50270.02,16065.64,11575.58,2417.32,934.06
