,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle
1973-07-01,38.672879724104234,37.79682688745243,0.022913417724547358,23.165271752317533,22.776361033150803,0.016931048636454893,7.1295332261183555,6.555718603935688,0.0839080280536395,112.42498242795045,109.2542464061779,0.02860847442979786,39.2239640848127,39.01137277572161,0.005434675451644555,17.94572422965637,17.902423757856656,0.0024157729360583247
1973-10-01,38.83990769135048,37.84938709659274,0.025833479985786223,22.991223542728555,22.828008124842352,0.0071243494182278155,7.389135050371109,6.571085959883937,0.1173315753232489,112.4034679675725,108.9639935632927,0.031077297412609894,39.5480845764393,39.195882948947265,0.008945548141356063,17.973630230663346,17.928711132743675,0.0025022948171167236
1974-01-01,38.310639845585214,37.90038518598181,0.010766385108100796,22.912974464211516,22.879770766976662,0.0014501730737555008,6.894460548186801,6.58514590583996,0.04590177781528393,111.35970073281439,108.67470215339007,0.024406473036016507,39.92881683312478,39.37954891907846,0.013851671033426438,17.776827151381156,17.954515998669613,-0.009945907227953743
1974-04-01,38.205919673221004,37.95202636572515,0.006667570786795363,22.983190809660183,22.932650646801683,0.0022014268568901763,6.9265296590938155,6.599390186627295,0.0483816682827114,111.0817705842209,108.39115879891418,0.024520077249023053,40.16999211599481,39.562202780274845,0.015246064891876632,17.71966739607883,17.98039103549349,-0.01460660213810927
1974-07-01,37.65276776634902,38.00678371715479,-0.009358198071892865,22.91171350616511,22.987679632647286,-0.0033101176573318014,6.5411663335492785,6.615513560998435,-0.01130194234895554,110.13246655799598,108.11974985126949,0.0184444749273176,40.411476084340165,39.744018003889906,0.01665446681550975,17.52401444764692,18.006780196626934,-0.027176170160893687
1974-10-01,37.31914050221835,38.067303719331,-0.0198493983708401,22.3744913534072,23.045931571450918,-0.029567718277630384,6.563397825284704,6.635429026131221,-0.010914896721590406,107.77041060438275,107.86845319492923,-0.0009093221469891333,40.55158246446959,39.9255521057609,0.015558282239652943,17.593916879571093,18.033965431367427,-0.024703737759921296
1975-01-01,36.68115119588934,38.13602855284597,-0.03889643487870087,22.360958833820238,23.108444318345185,-0.0328815766123971,5.545038427973576,6.661030244493743,-0.18337061297330393,103.8695688660625,107.64642126461095,-0.03571601255914203,40.692091198177714,40.10779056158296,0.01446316032434014,17.69112188398453,18.061923674982584,-0.02074313282945006
1975-04-01,36.76462906435769,38.21494813756556,-0.03869053534294409,22.558887659077286,23.175840446529676,-0.026981256494457373,5.414607548859374,6.694205799630494,-0.2121419432028433,102.41317214718539,107.462688310012,-0.048128363248758355,40.58063893410884,40.29212875491306,0.007134945702545803,17.91206403196602,18.09035248561673,-0.009904330227740843
1975-07-01,37.218080549538726,38.30514449015847,-0.028789528578572643,22.79449076910585,23.248274459713276,-0.0197120386641374,5.772500741068226,6.736130640456328,-0.15438028049340646,102.86382964641345,107.32386487696189,-0.04244496626011429,40.44547196231236,40.480353685980546,-0.0008620666035588087,18.10243890590791,18.1187126552661,-0.0008985771987792823
1975-10-01,37.50554915309686,38.406789892313284,-0.02374536463046928,22.91044636301289,23.325512153157067,-0.017954724153019352,5.880463492727093,6.787137980002452,-0.14339376346035038,104.0350495601905,107.23335167005997,-0.03027945920883468,40.36546632693272,40.67446740715857,-0.0076259336225836805,18.12105929565152,18.14634926960092,-0.001394639377281237
1976-01-01,38.159822740272546,38.51937471910751,-0.009378152770324721,23.265144182853497,23.407030324836395,-0.006080135780421436,6.385616639916213,6.846941777429705,-0.06975403557436177,105.23689505461095,107.19175583132562,-0.01840538885596832,40.34637242865083,40.876489342847705,-0.013053577037084985,18.303068022974795,18.172593279660383,0.0071541019486365265
1976-04-01,38.25747650646228,38.64181854503482,-0.009996066638609413,23.32916022241661,23.492036787317453,-0.006957413834509207,6.656743742732034,6.9146546294837306,-0.03801258127721119,104.77252968632695,107.19772096446744,-0.022883372537421565,40.45949184207739,41.088285416113614,-0.015421782355450997,18.384705484978504,18.196756173637166,0.01027574933477382
1976-07-01,38.294098706483545,38.77280698485349,-0.012423346468308338,23.521901444676164,23.57963948668713,-0.0024516425488028126,6.664105033627111,6.9890708194544775,-0.04761195134290719,104.71796119392818,107.2487211425504,-0.023879981364464342,40.64728964216971,41.311426956587184,-0.01620698515367547,18.37872434235801,18.218227859684422,0.008771086222072899
1976-10-01,38.386761451394705,38.910769877795296,-0.01355842663480411,23.664023355924765,23.668830748801795,-0.0002031313338055618,6.700858670964968,7.068778118628948,-0.05345196072225766,104.77222270927027,107.34074936240579,-0.02421966165722811,40.816749513484154,41.54712434243578,-0.0177357848799109,18.39019610725208,18.236513566845876,0.008391878150089571
1977-01-01,38.66791721725492,39.053814772870695,-0.009930317219676965,23.881752799509563,23.758551397945983,0.0051721616093036715,7.006042927808627,7.152093215037268,-0.020632019160067294,105.41997161814076,107.46823103728121,-0.01924317645642759,41.00513094253663,41.79619890836832,-0.019108196375103415,18.42111280165307,18.251218145125712,0.009265616208042005
1977-04-01,39.24829218260301,39.19969085213859,0.0012390716702310733,23.977262619846364,23.847723119024316,0.005417244380326203,7.4396178081991655,7.237012591938608,0.027610981838334325,106.96159647690648,107.62397465131737,-0.006173577046193479,41.26519217840556,42.05903300576278,-0.019054838971264143,18.481049219592826,18.26204295172135,0.011921090389979128
1977-07-01,39.7692603050681,39.34586988111631,0.010703248920873154,24.158561347203225,23.935328818982477,0.00928326365822274,7.774374677977522,7.321341663939247,0.0600394289595525,107.60188565479689,107.79947644521842,-0.0018346294927491513,41.61065025975343,42.335520714039866,-0.017270316505795247,18.59950338910579,18.26879680654973,0.017940368867993328
1977-10-01,39.57633011631927,39.48981642049044,0.0021883886883258263,24.22566520971054,24.020418181312625,0.008508390823439793,7.722254908949211,7.4029111568474555,0.04223308561635486,108.12303268536247,107.98577454293961,0.0012702690153139073,42.018316956761275,42.62505280871833,-0.014336533287454767,18.388380596538358,18.271427033243288,0.0063805004788086706
1978-01-01,39.52639527586761,39.6292234182853,-0.0025981276366020545,24.297169960628644,24.102168173312005,0.008058078891113762,7.802047040781544,7.479740768755084,0.04218800558744906,108.15134652477825,108.17372633105228,-0.00020690903794395865,42.416721076367104,42.92654587211243,-0.011947769958133403,18.301505058533316,18.27008855468678,0.0017180827232605722
1978-04-01,40.87867096109023,39.76180731179346,0.027701598347116718,24.744693103253528,24.179874767011107,0.023090379976855147,8.250375807665137,7.549979884370526,0.08871385281776822,110.82792435451468,108.35421243467763,0.02257316216268368,42.82732816611286,43.23850244866013,-0.009554951317076732,18.566531514263513,18.26501174048242,0.016373275902225704
1978-07-01,41.11160789135058,39.885192884708594,0.03028536270002924,24.755969825402595,24.252949319824197,0.020528433571951332,8.451604266898688,7.6119307013362105,0.10463943189816982,111.27120826376196,108.51803969754663,0.025054115302737934,43.33326986193855,43.55905840841722,-0.005196984800842852,18.547546265117674,18.2564487003477,0.015819132433446903
1978-10-01,41.4737770517297,39.99767436651837,0.03624003765921602,24.803637673076025,24.32115003747398,0.019643979075373963,8.635748206085328,7.664295918495146,0.11933770449719239,112.10588777596593,108.6574982923934,0.0312431336352752,43.860207385689606,43.8860326571033,-0.0005886354138202599,18.541664161156234,18.2448398754702,0.016138023191052397
1979-01-01,41.355515195508495,40.09829490712607,0.03087197855421664,24.83254149996594,24.38454861685713,0.018205271999590877,8.606433952780652,7.706286259496333,0.11047366446516493,112.38076024281125,108.76655588767616,0.03268885416161815,44.40945832535828,44.21703415813993,0.004342369063500939,18.379156498833858,18.230806525242365,0.008104394176896346
1979-04-01,41.21424479283026,40.187009284280194,0.025240152729674836,24.774461943566227,24.443520930485715,0.013448174077454578,8.577551162455686,7.737717389681034,0.10304172724788296,112.3340721137005,108.84130418716416,0.031586321890191726,44.93967388027527,44.54958205987693,0.008718237449348631,18.24537246481234,18.21515288732615,0.001657660393765692
1979-07-01,41.345246683023525,40.26456020588191,0.02648577891350623,24.982723470740194,24.49872816627104,0.019563320182517163,8.456714209564893,7.7589838642070275,0.08610932658341541,112.80328759098994,108.88007906398488,0.035398399449391604,45.455788869560045,44.88124183315296,0.012720249469200251,18.181033214613365,18.19877324452862,-0.0009752680427972393
1979-10-01,41.26027014015389,40.33234273124743,0.022746358641947406,25.069796019656355,24.551046091537216,0.020909311719395696,8.298987329131542,7.771027880903275,0.0657310547857799,112.50949935047112,108.88339825393486,0.032760087892087064,45.90698568404358,45.20975322720604,0.015304456114250797,18.111726638121702,18.182577714503317,-0.0039042581278412314
1980-01-01,41.17728568709463,40.3924382368929,0.019244190955240548,25.125500218188904,24.60166023099999,0.021069345636629766,8.185179628526123,7.775251870597702,0.05137930417257053,111.66194959037847,108.85422282323294,0.025466417977434652,46.27485132384318,45.53315415493704,0.016157922214520504,18.113688912732183,18.167462137942834,-0.002964253505082226
1980-04-01,40.15724276190201,40.447521113701555,-0.007202542200473783,24.47206334876622,24.652088759985656,-0.007329438144556111,7.454698308542916,7.773407512370417,-0.04186413646622311,109.24968848642732,108.79776921838058,0.004145151884706877,46.643227478899306,45.84986949311488,0.01715538714238951,17.86788209713815,18.154275202939107,-0.015901276425243083
1980-07-01,39.953683132197796,40.50077035071979,-0.013600133427424943,24.66989919133411,24.704187798354802,-0.0013889315073356556,6.924567680584935,7.767511596118915,-0.11487423385804507,108.32242415601551,108.72099691699957,-0.003672750890543419,46.832507370973886,46.15875306849257,0.01449095515578902,17.85075630562057,18.14382998241619,-0.016284679652937673
1980-10-01,40.530087904456316,40.55519999217174,-0.0006193993798309094,24.86839616523416,24.759715943735483,0.004379791638679631,7.486445121244155,7.759380731412284,-0.03580846015099848,109.20684165261456,108.63114170473372,0.005285591422650171,46.87210031962643,46.45913426150615,0.00884952942198547,18.00750046022978,18.136758449520652,-0.007152369102052525
1981-01-01,41.18117008571391,40.61349523656281,0.01388070876188996,24.856469960820004,24.820427001901173,0.0014510956781559337,8.164261354359976,7.750270884163392,0.05203846191341954,109.43128874628955,108.53517336471785,0.008222553339437333,47.082200386105654,46.75075772554878,0.007064554836469394,18.243794419631204,18.133508689154695,0.006063454898724174
1981-04-01,40.73515604516331,40.67834169968378,0.0013956986562679852,24.69876648215598,24.888162501298858,-0.0076389864840495925,7.855114119967964,7.741259782730463,0.014600362939966693,109.09111833519336,108.4403976341178,0.005982789566410851,47.45366297143367,47.03363146479578,0.008890809626317164,18.033092208665234,18.134449633538583,-0.005604897930841624
1981-07-01,41.08723879017763,40.75279805391601,0.008173080337088301,24.67418852975258,24.96481133420342,-0.011709588265494286,8.219655469612118,7.733671804893659,0.06094453759664509,108.69585522423444,108.35465197823596,0.003144001195436452,47.743148610396936,47.3079819553603,0.009156539072951997,18.193153393280156,18.140021778033187,0.00292469088482461
1981-10-01,40.50194734412854,40.83998633802255,-0.008311603244346877,24.37469814777063,25.052173698182518,-0.027414965018711435,7.942760132221776,7.728897179647882,0.027294653710751682,107.91124710065618,108.2861554647404,-0.003468207623525288,48.1090157883369,47.574314138349806,0.01117660132584719,17.970560027489718,18.150605910312112,-0.009969078752768645
1982-01-01,39.73820746251543,40.943274210832165,-0.029874423397718175,24.444571469480447,25.151902146415875,-0.028525360268651045,7.140056945856599,7.7286193751408945,-0.07920948865553257,105.81628544931935,108.24332524361705,-0.02267727009361753,48.392893655354776,47.833425991082414,0.01162829401461929,17.82107580203787,18.166620858488038,-0.019204100741624597
1982-04-01,39.801589758566784,41.065865905661916,-0.03127040801551351,24.36428443669753,25.26525767919256,-0.0363119303771362,7.091013824266882,7.734659815167326,-0.08688317924723687,105.91285759515902,108.23434537694109,-0.021682083124085594,48.48739005968489,48.08647549954019,0.008302802439534407,17.82674388915327,18.18837821037111,-0.02008303483831453
1982-07-01,39.52927731474704,41.21025766687358,-0.04164560266659434,24.491141176134004,25.393089599954376,-0.03616560649911982,6.962804835927317,7.7484749665849035,-0.10691365866274416,104.84293922880286,108.26588994812109,-0.03212673203112182,48.56218362464403,48.335001709322775,0.0046891420181522925,17.812396945914585,18.21597759998987,-0.022404426552321333
1982-10-01,39.43004474371151,41.37820202476636,-0.04822613837737455,24.863416179768475,25.535705270119426,-0.026680186094333536,6.364804814704452,7.771130418348987,-0.19963207264932126,103.59328573986748,108.34321356328677,-0.04483157336119348,48.60887084494652,48.58083126336484,0.0005770072703459306,17.90068386415592,18.249295655329203,-0.019287568236811214
1983-01-01,39.82815381185386,41.57043295618592,-0.04281512390092157,25.049755588432472,25.692859054698854,-0.025349024963255307,6.484578005460219,7.803210355135403,-0.18510848976267602,103.88481525260795,108.46946165282965,-0.0431859342309977,48.49892565033318,48.82597323708505,-0.006720763576737898,18.062731333192065,18.287957306908357,-0.01239199939849911
