Year,Argentina - ARG,Australia - AUS,Austria - AUT,Belgium - BEL,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Côte d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Colombia - COL,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,France - FRA,United Kingdom - GBR,Ghana - GHA,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Malawi - MWI,Malaysia - MYS,Niger - NER,Nigeria - NGA,Netherlands - NLD,Norway - NOR,New Zealand - NZL,Pakistan - PAK,Peru - PER,Philippines - PHL,Portugal - PRT,Romania - ROU,Senegal - SEN,Singapore - SGP,Sweden - SWE,Syrian Arab Republic - SYR,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
2002,27724.28,76940.08,71594.5,73657.55,3092.21,4198.42,7699.31,18393.23,38589.15,72960.74,73305.34,29618.87,8341.25,5663.51,6439.89,1434.52,17185.14,24631.09,62016.69,70035.57,63481.49,22595.8,37831.55,14047.21,19927.99,62204.25,1277.32,70241.05,74984.82,68419.92,7166.82,59641.65,14712.94,77545.16,8317.5,5225.45,92060.91,37402.36,64605.45,71107.19,75577.77,13474.75,17424.67,67153.21,5068.82,51228.45,14701.0,79779.77,16875.41,2399.85,32558.21,4817.38,52349.3,2159.99,2469.04,29756.91,1800.82,3823.41,71571.75,92669.81,56429.34,10706.05,10732.63,11485.32,44109.37,20454.3,7921.87,70172.73,68907.04,7853.19,13759.51,29063.15,27976.21,40961.12,71479.09,3218.92,3576.68,24244.9,95491.4,17304.11,31409.34,4706.79,4418.0
2003,28615.21,78524.0,72869.91,76700.37,3201.58,4219.47,7917.18,18033.9,37188.08,75032.53,74972.5,29770.15,8780.86,6283.25,6595.0,1514.28,17008.4,24661.56,55786.81,72305.76,65323.88,21083.79,42770.27,14627.36,21195.02,61337.36,1329.78,71468.48,73278.81,69245.8,7408.06,59165.52,14794.5,80609.19,8342.24,5565.46,98652.34,39988.35,64675.48,67769.75,74725.66,14357.77,17413.72,68307.73,4857.2,53253.79,15763.65,76467.88,16002.92,2556.88,32380.88,5305.31,55413.44,2281.53,2554.7,30817.44,1813.21,5254.31,72016.07,101090.23,57007.28,10824.56,11143.85,11551.52,44323.18,21532.66,8094.78,65879.35,71392.8,10234.01,14660.85,36803.94,27234.28,40281.64,72773.56,3339.74,3622.11,24237.4,97807.24,16737.51,32780.54,5209.06,3473.94
2004,29189.63,80023.08,75319.4,77848.29,3326.63,4279.55,7935.15,18090.81,37749.94,77070.84,77583.44,32367.57,9514.86,5955.81,6522.14,1616.42,17786.68,25541.62,55070.95,74003.9,69126.23,21163.33,38679.57,14975.27,21150.22,61370.49,1531.49,74357.93,74771.3,70235.68,7708.7,60462.3,14832.36,90564.2,9036.21,5815.03,101051.28,43571.22,68372.1,66603.59,74739.1,14643.05,19134.54,69636.17,4891.58,55380.63,16168.67,69595.56,15238.58,2572.57,33348.83,4832.32,52314.58,2301.76,2844.62,33567.66,1697.55,7147.76,74151.81,107219.77,55480.96,11185.78,11757.95,11537.72,44567.28,24497.49,8069.74,76525.95,75342.22,14631.11,15420.03,38482.88,28664.62,43929.68,74749.82,3402.66,3672.55,24061.45,100457.88,20572.72,34294.99,5405.6,3092.68
2005,30268.4,82895.49,81715.23,85479.28,3575.7,4414.33,8431.14,18221.74,37334.52,81621.6,83484.94,34984.61,10619.23,5911.49,6550.08,1699.91,18544.44,25753.72,62105.22,77842.55,74367.28,23311.6,42873.16,17010.34,21805.15,65337.89,1772.93,78208.04,80681.43,74393.8,7602.93,61205.13,14497.12,94258.21,9839.84,6599.12,106297.8,47615.44,72582.1,65158.98,77375.51,15316.9,23598.98,70713.42,5112.29,58445.07,16437.47,85709.06,15293.77,2605.82,35350.7,4875.46,58579.67,2436.16,2959.45,38100.09,1700.24,10610.45,83499.8,131417.07,56047.54,12177.04,12694.36,11755.25,49255.66,26150.41,8472.89,101362.97,78171.13,20984.76,16756.72,45736.17,29643.05,47633.12,78771.53,3681.31,3877.13,24652.27,102417.27,25662.53,35358.67,5982.42,2496.56
2006,31201.6,82577.61,81989.18,82183.66,3613.94,4784.59,8662.27,19345.83,34002.28,80814.13,86875.09,40170.77,11488.94,6127.86,6525.32,1773.76,20562.51,25509.85,63293.95,78863.93,75582.38,25060.5,42959.38,17819.97,23193.96,68601.9,1758.43,78439.76,81874.17,74767.97,7491.05,64781.76,14379.83,85176.99,10705.78,7450.08,105253.55,50966.0,67657.96,63959.25,78577.54,15379.27,25372.78,71122.94,5536.42,59768.64,17462.96,82133.7,15119.1,2665.45,35340.65,5162.13,56771.58,2462.08,2977.24,37970.24,1742.91,11021.23,83630.97,138587.26,55523.41,12300.23,13899.95,12246.0,51299.86,29819.93,8374.27,105140.92,80252.43,19662.43,17663.91,53584.66,30050.5,53533.7,78347.56,3870.87,4014.19,24937.67,103544.77,29096.08,35843.45,6682.19,2095.3
2007,33232.54,82297.88,83160.65,83088.69,3583.76,5158.23,8933.3,21193.85,38317.43,80741.23,93589.44,42426.08,12315.14,6409.24,6606.96,1812.98,22398.66,25611.49,63930.69,82081.51,75900.53,26700.95,46057.54,18942.9,23085.75,71209.24,2038.29,83456.8,84474.11,73944.63,8648.01,63871.43,15212.0,87862.1,11392.84,8393.19,111022.63,56477.06,68834.94,62100.47,81325.39,15775.87,27661.6,71864.6,5743.02,62618.98,19353.18,84090.85,16586.48,2700.2,35761.84,4958.83,58370.73,2506.47,3358.31,40930.16,1715.62,13717.07,86610.87,135271.11,58297.99,13055.8,15077.93,12875.59,52371.4,33460.92,8611.52,105363.24,83710.77,20963.99,18514.43,58147.35,31231.35,57434.14,79350.03,4168.98,4148.18,26222.99,104651.97,32223.5,38411.6,8613.98,2167.04
2008,34826.94,84698.94,84680.92,89108.63,3637.42,5612.2,9722.01,23301.12,36718.16,82853.42,98570.71,40079.41,13045.07,6708.1,6790.72,1723.15,23970.88,26770.56,66014.96,83001.25,79805.96,26600.32,46434.99,20747.38,26643.22,72643.14,2156.78,84805.7,84780.25,75392.17,9172.04,64890.2,15689.18,84628.71,13246.27,8938.22,106709.54,59142.62,87169.96,59853.94,83281.19,15741.87,34796.45,70583.62,5812.85,62509.84,19296.99,79333.13,17347.15,2948.02,35852.39,5017.8,57032.57,2579.4,3544.73,45461.87,1777.3,13817.2,88775.7,149262.63,58321.84,13438.0,16228.5,13567.34,51986.28,38853.85,8504.33,86583.81,84995.35,22714.37,19403.71,66397.98,32224.46,60201.41,75517.69,4306.18,4336.74,28693.24,104608.23,36928.78,38027.95,8868.83,1639.26
2009,32318.68,83688.52,81280.0,86361.51,3591.25,5939.37,9982.74,23977.51,32853.57,75810.78,96409.8,41205.23,14176.9,7174.24,6623.69,1704.93,23116.9,28892.64,66628.68,77426.66,79121.71,28809.54,41028.24,20168.18,26672.63,75105.04,2199.23,79742.65,83100.25,70927.86,8492.35,63288.3,15875.29,76248.21,14289.05,9587.37,110130.34,58548.2,80496.08,61507.67,81607.49,16441.51,37341.18,67989.93,6110.84,61289.81,21651.65,73153.62,17124.53,2817.96,34806.25,5589.84,57015.24,2534.9,2717.09,41824.73,1792.29,14640.47,82213.1,126732.19,59810.03,13737.5,16005.94,13744.15,52511.5,39015.12,8777.91,80448.14,80784.42,21588.96,18853.96,49990.32,33048.62,58398.63,73703.37,4275.9,4647.05,29797.07,105344.18,31348.68,37762.06,9637.36,2787.65
2010,35438.21,89355.51,83114.79,92900.75,3828.17,6625.64,10607.19,27346.44,31479.44,79508.42,99066.36,44609.37,16364.15,7614.05,6743.74,1825.6,24332.01,29795.89,67391.64,80872.92,86391.74,30096.17,46306.59,21977.93,29999.41,75900.86,2501.74,82905.57,86350.49,75073.74,8967.72,60613.27,16546.68,83120.37,16361.55,11049.08,115642.85,63191.83,73902.4,62236.58,83156.34,17363.58,37135.79,71258.3,6634.12,65693.19,23742.8,81848.99,18164.4,2975.0,34691.82,5403.83,58480.47,2532.64,2532.75,41671.89,2007.33,15956.3,83293.04,138265.04,61680.46,14306.05,17797.11,14751.73,55633.44,40233.32,8894.36,98805.99,84285.1,23687.54,21230.44,58069.57,34088.78,63284.87,78985.47,4589.74,4895.42,33689.85,108673.72,37830.23,39799.1,10534.1,2932.34
2011,37556.84,92540.64,85047.11,93343.8,3947.31,7547.36,11679.34,30056.83,27331.72,82715.07,105678.11,47200.69,17994.72,7440.86,7005.84,1904.58,26173.69,32356.35,67648.46,84049.94,89129.75,29570.45,50131.22,23890.9,34108.75,77162.25,2676.62,83841.53,88557.44,75754.72,9246.57,58821.26,17286.48,87579.63,19552.82,11941.54,118002.25,67350.68,73307.3,63065.82,85459.63,17690.19,41734.34,70319.11,7073.6,65850.77,27240.0,76118.46,19417.07,3047.79,37397.37,5138.22,57661.13,2440.87,2767.47,45517.98,1869.04,16277.35,84384.86,151420.84,63143.11,14949.64,19297.63,15638.15,54838.28,42069.53,8796.1,102521.95,87053.46,24177.69,22162.93,62420.36,35222.43,67456.17,80592.84,5055.69,5154.68,34905.06,109447.17,40806.52,40020.92,11326.04,3304.14
2012,37006.31,92380.14,87242.96,94958.83,4343.49,7192.39,12726.91,29959.62,25903.03,83442.72,107332.55,50386.0,18693.12,8127.73,7231.98,2103.59,26526.26,30636.67,70693.25,82643.41,88208.69,29687.62,49265.65,24182.78,33846.68,80023.27,2782.8,82604.1,87985.86,76480.02,9707.33,59645.31,15585.97,87907.1,20297.24,12654.57,120431.97,59580.65,73989.12,64027.6,85064.17,17658.44,42129.41,71372.42,7291.69,64716.19,29874.18,81589.73,20222.51,2995.32,37227.85,5382.78,57445.49,2552.35,2597.85,46546.9,1969.7,17151.73,86242.54,156805.66,63475.27,15014.2,20150.57,16114.03,56478.83,46737.79,8730.54,100030.4,87223.79,20797.77,23836.2,62846.92,36029.54,69243.25,79535.36,4936.38,5034.0,38189.46,110283.91,41269.59,39313.99,11778.58,3472.16
2013,36953.27,94024.06,86016.34,94417.88,4490.34,7499.32,13291.96,30107.25,23443.78,85080.29,107746.94,49250.98,19638.52,8628.64,7413.8,2268.37,27005.06,30421.82,70073.57,83775.03,87703.31,30589.24,46743.01,25081.46,34856.98,80819.1,3048.95,80132.89,89561.42,79305.81,9976.23,62000.64,16758.89,99035.04,20842.93,13045.0,118592.23,59231.46,72259.77,66354.95,86007.95,18001.32,40546.86,72162.11,7366.45,64681.07,30700.39,78379.14,20771.91,2976.67,38658.17,5425.24,55178.32,3008.48,2723.21,46714.91,1986.52,17129.92,92504.95,153103.22,65955.66,15127.86,20711.1,17194.23,58461.98,47406.04,8933.58,97027.72,85204.95,18871.32,24632.79,71918.14,35652.42,71802.98,80604.03,4959.16,4968.57,38658.19,111519.73,37552.71,38607.71,11993.49,3579.68
2014,35857.0,94879.55,88924.91,93358.04,4592.14,7792.91,12633.98,29223.43,23634.12,88812.88,109032.38,50977.22,20795.4,9119.05,7509.68,2311.27,27335.36,32015.01,67956.01,86195.09,86936.35,31231.44,48905.38,25087.22,35434.67,81333.97,3401.53,80370.06,89736.43,78378.54,10547.83,61139.27,16733.7,86534.89,21358.87,13699.87,125932.48,59224.54,71608.51,69494.36,86660.62,17920.72,39481.03,72531.53,7421.44,65717.84,32399.39,91111.89,20726.55,3032.15,40636.79,5338.99,53643.59,3520.84,2665.5,46854.17,2086.73,17157.71,88518.32,141548.17,67808.84,15826.25,21009.95,17794.32,58397.77,48000.59,9105.51,103902.39,83985.69,20945.5,24988.83,76745.67,35977.26,74450.89,84228.35,5275.45,4935.47,39555.69,112611.02,30091.38,38601.3,12142.99,3570.34
2015,36028.65,90036.65,90530.85,90170.23,4684.54,8165.63,12797.45,27902.28,22423.94,83239.27,108239.1,50113.89,21189.91,9704.85,7558.2,2297.13,26475.45,33603.1,73530.15,85636.2,86074.12,33056.16,44897.65,22389.7,36397.88,83475.43,3557.25,82477.11,91863.95,79811.82,9981.67,61328.08,16910.3,75667.94,21486.3,14359.59,159256.37,53737.6,72408.14,71605.66,87263.5,17713.65,39220.5,74278.97,7542.17,67684.32,34153.72,98057.26,21789.06,2989.59,39361.39,5503.59,62752.92,3553.92,2921.74,45630.12,2146.85,15022.54,86682.88,118281.55,67754.31,16111.83,21083.53,18373.47,59507.55,51542.07,9278.6,102109.04,85843.95,21925.28,25605.81,86410.3,35912.45,79086.39,84261.78,5643.68,5137.07,39135.93,113967.15,16641.19,37610.15,12329.97,3417.17
2016,35832.09,93860.31,90755.22,89976.29,4789.96,8381.47,12945.37,27663.35,20684.74,82976.5,107602.86,50870.07,21904.02,10387.45,7693.15,2131.15,26758.81,36135.83,74099.05,87828.88,86739.78,34233.36,45115.86,20887.7,36617.71,84406.98,3556.03,84001.86,92605.7,78958.52,9741.37,60411.22,16840.09,75700.44,22026.73,15070.27,166994.65,55344.39,71825.75,72623.73,90211.08,17199.12,38704.06,74796.84,7604.23,69004.01,35160.01,101429.13,22069.06,2997.42,39632.41,5804.19,62860.92,3847.36,2643.5,46675.91,2086.01,13013.37,85316.19,112973.71,68973.54,16404.05,21473.7,19177.56,54230.91,56112.55,9313.3,102393.63,85027.29,23970.28,26383.69,82451.16,36721.34,78567.36,85013.69,5366.57,4848.11,39887.41,113950.92,16930.35,37301.96,12071.54,3328.33
2017,36790.31,94523.91,92648.31,92114.95,4996.06,8871.35,13282.75,27933.55,20410.11,84031.86,110095.52,50527.9,23220.95,10818.85,7765.6,2073.19,27218.67,36667.61,75242.59,90318.12,90611.94,35246.06,45653.51,20724.23,37607.7,86291.39,3485.87,87213.6,95065.89,80972.62,10083.47,60872.81,16802.45,77264.25,22811.19,15989.62,173048.0,57421.23,71809.08,73185.36,91795.59,17024.65,38429.97,75363.55,7673.76,70284.05,36258.46,103826.97,22709.51,3110.62,39951.48,5996.95,67061.16,3689.27,2667.66,48525.88,2083.66,12553.77,87848.83,114577.15,67979.08,17163.87,21619.54,20709.85,51795.44,60235.86,9634.83,107962.23,87055.8,24732.99,28079.05,79105.9,37733.05,81451.04,86525.86,5467.86,4851.85,40413.28,115119.72,17671.93,36834.24,12501.68,3370.0
