,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend,real_m2,real_m2_trend,t_bill_3mo,t_bill_3mo_trend,pce_inflation,pce_inflation_trend,unemployment,unemployment_trend
1959-01-01,27.2141861508896,26.93995250950214,16.501876609657746,16.44516528084171,4.434963661601091,4.332692440683961,109.06400831460414,108.93095313026986,59.42636853994221,59.26881016250326,10.954172427014292,10.862485001844332,1.53491856519593e-05,1.503412816589075e-05,0.027733333333333336,0.029631788565783145,0.06747778452367825,0.05722020928519117,0.05833333333333333,0.05779236531344594
1959-04-01,27.726130203044374,27.101860274532914,16.73717114359148,16.531610043194014,4.741557483987099,4.35202330530128,110.72655931065019,108.76771477755209,59.37938357987183,58.73455953368325,11.054089585347164,10.973146643003448,1.549733156922349e-05,1.517544477003669e-05,0.03,0.029432223163166564,0.0774744808226242,0.05632279495888896,0.051000000000000004,0.057928825239914244
1959-07-01,27.646825052366456,27.264913683117776,16.888483345688527,16.61854496299994,4.402458612829168,4.3715041593053625,110.01086432528706,108.60480390535392,58.808023288628995,58.205221232678916,11.10655112989058,11.084993883302404,1.5591799574895545e-05,1.5318288268903785e-05,0.03540000000000001,0.029231471226029697,0.07664496983816349,0.05543179161711079,0.05266666666666667,0.05806562327139497
1959-10-01,27.63876650031877,27.429685730920728,16.880353111040318,16.706137968711978,4.524057193858457,4.391435550957068,109.68108527340279,108.4435122713685,58.19203906653798,57.6812385767224,11.166078059593842,11.198150252615603,1.553613094865945e-05,1.546308003504402e-05,0.0423,0.02902870108037528,0.06964015333490159,0.05456683004804555,0.05600000000000001,0.05819876699712561
1960-01-01,28.06733403959037,27.597003086308266,16.880496024120372,16.794729619768884,4.990019531636568,4.4121430154114645,109.62283135133097,108.28599457289222,57.41635200824867,57.16340581636499,11.396537650595034,11.312757678682221,1.5449633422818555e-05,1.5610429628484306e-05,0.03873333333333333,0.028826936382689777,0.05466167284431345,0.05376079927627027,0.051333333333333335,0.058320889658465644
1960-04-01,27.83866158251342,27.767844294436195,17.09216028499227,16.884777142749027,4.4811045856261345,4.434040871179068,109.49293200474153,108.13516013021507,57.00778884936845,56.652799495391925,11.34071174292688,11.428942966573578,1.5491648189722018e-05,1.5761015785192777e-05,0.029933333333333336,0.0286374953512844,0.052940523921966465,0.05305600915341623,0.052333333333333336,0.05842325026740137
1960-07-01,27.884537182542648,27.943507343082864,16.97417870156589,16.976801618526157,4.414525311794791,4.457895111910199,108.52605575491594,107.99473106656897,56.462751104575766,56.150611087577936,11.463559783988348,11.546890865354458,1.5662790525503053e-05,1.5915439919765905e-05,0.0236,0.028477887702564524,0.03554758749707676,0.05249533257709478,0.05533333333333334,0.05849274061321587
1960-10-01,27.430692962384345,28.125368367388017,16.961422936572152,17.071465842524518,3.8573293252306136,4.484519423822681,107.14058297983269,107.86925365788422,55.89906873036522,55.658205433138406,11.411558466726575,11.66673668012988,1.578890071295726e-05,1.6074153319612373e-05,0.023066666666666666,0.02836643305167429,0.03463613780115349,0.05212157026664756,0.06266666666666666,0.0585124462871084
1961-01-01,27.515598915079785,28.31480322140314,16.888466342529032,17.169446084507012,3.956965846570431,4.514722850864716,106.14992202367566,107.76358852314388,55.206080291710656,55.1770890991534,11.566598047474287,11.788567326448966,1.5968617434359476e-05,1.6237462366253405e-05,0.0235,0.028318402333943737,0.024990501403341137,0.051966930600741194,0.068,0.058463478250728326
1961-04-01,27.89188839470731,28.5127814523336,17.042797568199457,17.271365043864314,4.22275594074655,4.548913957307226,105.56304329354391,107.68213017083134,54.58136222429438,54.70886305737192,11.814069930271087,11.912307992785943,1.6173139856444353e-05,1.6405501742225654e-05,0.023033333333333333,0.028345754130712282,0.021814646245725378,0.05205269356275141,0.07,0.058329543853462215
