,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,United States,VA,VT,WA,WI,WV,WY
2000,29623.75,27823.71,32034.39,40415.45,41552.38,52861.87,52392.93,42045.75,36323.23,35097.15,33597.52,30636.12,40546.12,34387.63,34686.82,30308.84,28932.55,47073.41,43336.55,33393.58,37113.34,39379.88,34171.48,26298.44,28472.16,33427.77,31755.96,35280.33,43303.58,48128.52,28054.51,38959.79,43870.21,34815.05,29287.92,34921.29,37101.13,36982.67,30433.4,32737.8,33160.33,34370.54,29477.21,37371.01,39948.95,35297.42,40102.82,36247.51,27208.23,35373.14
2001,29850.51,28481.03,31957.88,40202.26,41706.66,54053.54,53432.67,44674.88,36762.42,35420.4,33760.78,30814.05,40753.87,34271.8,34945.2,30488.1,30195.57,47692.05,44206.84,34220.46,36757.65,39644.67,34306.42,27165.27,29032.64,33143.49,31830.12,35857.39,43962.08,48457.39,29387.25,38866.2,44397.88,34908.18,30273.18,34544.02,37441.79,37823.87,30478.54,33230.65,33016.93,35095.64,29606.94,37657.9,40671.49,36422.14,39604.08,36905.7,28149.1,36632.28
2002,29968.6,28501.04,31931.23,39865.24,40928.28,52936.89,53564.83,44508.99,36828.98,35195.62,34050.26,30788.23,40549.63,34032.62,34554.73,30533.05,30418.98,46867.91,44440.79,34621.76,36135.19,39692.38,34292.5,27111.09,29313.61,32663.84,32113.5,35905.88,43663.5,48575.36,29485.29,38148.38,43622.34,34780.51,30217.9,34002.05,37521.61,38488.22,30513.06,32756.74,33031.9,34341.89,29497.05,37412.25,40409.69,36558.52,39399.57,37086.51,28787.97,36943.05
2003,30567.82,29361.85,32473.63,40622.59,40504.99,52421.74,53556.23,44027.21,37060.01,35334.06,33986.28,30770.74,40334.35,33903.27,34757.59,30533.23,30556.29,47045.6,45044.1,35358.28,36093.85,40553.41,34747.22,27511.39,30417.94,32899.06,34145.39,37185.68,43353.89,48666.63,29816.11,38513.86,43529.14,35041.22,30806.48,34394.42,38004.27,39513.46,30639.3,34908.63,33482.45,34344.84,29580.91,37691.82,41514.96,37124.57,39742.9,36986.22,28632.04,38351.3
2004,31834.61,30079.67,33637.79,42135.32,40335.5,53534.56,57293.54,43761.22,38221.5,35745.06,35756.28,31816.65,40650.81,34199.96,34413.15,31312.84,30849.42,48087.97,46622.53,35987.43,36094.03,41570.92,35442.1,28120.51,31561.94,34348.07,33410.01,37526.93,44449.06,49267.28,30500.45,40034.78,44459.16,35537.48,32176.84,35273.79,39178.64,40122.31,31209.61,36095.15,34173.03,34280.75,30173.92,38505.39,42713.2,38201.3,41135.55,37304.76,28719.7,39243.72
2005,32397.7,30386.57,35100.23,42963.21,41336.91,54600.6,58561.99,42906.68,39426.88,36163.41,35449.19,31863.94,40927.08,33783.75,35078.49,31539.98,31984.61,48747.66,47073.53,35514.41,35670.96,41065.14,35254.6,28888.55,32357.48,35045.88,34266.43,37102.67,44486.24,49304.26,31259.51,42002.22,45067.83,35355.7,33767.45,35244.81,39404.05,40143.28,31480.19,36713.48,34177.28,35649.22,31263.86,39031.18,43830.72,37687.52,41047.75,37149.41,28909.21,41561.94
2006,33027.82,30911.05,36603.24,44649.52,42338.68,57155.06,60144.07,43604.32,40856.84,36561.06,36317.42,33072.12,42318.64,34538.15,37286.69,32104.96,35096.08,50949.23,48338.85,36178.2,35477.88,41562.43,36011.56,29226.7,33548.84,35977.81,34595.1,37454.38,46156.69,51005.13,32024.81,42114.03,46879.15,36015.78,35879.72,36620.12,40141.75,41244.96,32249.46,37128.48,34752.25,36922.82,32858.02,40230.35,44987.03,38964.71,42564.39,38109.35,29959.71,45571.33
2007,33472.37,31819.35,36729.1,44887.35,43144.95,59503.58,61975.41,42978.52,40876.54,36487.67,37684.54,33471.34,43421.31,34639.45,38900.93,32447.07,36754.78,51796.34,48660.84,36530.82,35640.1,42386.76,36534.93,30036.88,34727.8,36998.26,37318.8,39123.87,46435.58,51953.52,32570.35,41235.09,48765.63,36458.9,36094.19,36839.02,41404.6,42031.29,32830.27,39788.57,35050.39,37632.14,33866.87,40910.45,45772.93,39929.32,44373.67,38600.94,30125.24,45942.45
2008,33683.98,32385.18,35988.35,44497.51,42987.12,61697.2,62574.81,42149.81,39956.27,35574.23,39081.68,33281.95,43687.4,35405.96,41491.85,33216.45,38083.15,52680.21,49803.52,37279.08,35914.8,43306.53,37572.3,30795.2,35717.31,38097.25,41526.11,40553.78,46717.25,52727.57,33701.11,39109.89,48662.92,36959.68,39038.35,37431.23,42250.57,42295.91,33126.78,41624.85,35590.35,39834.35,34189.79,41394.11,46054.25,41157.33,45134.31,39168.33,31510.59,48909.78
2009,32685.0,31372.0,33746.0,42224.0,39838.0,60428.0,59998.0,41317.0,37065.0,34361.0,37365.0,31436.0,40994.0,34084.0,39204.0,32304.0,36284.0,51412.0,48845.0,36952.0,33966.0,40739.0,36425.0,29801.0,34318.0,35840.0,40134.0,39226.0,45742.0,50567.0,32523.0,36280.0,46916.0,35610.0,34920.0,35409.0,40696.0,40936.0,31635.0,39524.0,34635.0,36695.0,31619.0,39376.0,44232.0,40221.0,41844.0,38012.0,31412.0,43549.0
2010,33290.52,31414.43,33153.2,42794.48,39444.38,61376.59,61113.8,40592.37,38160.07,34225.11,37488.27,31343.3,41195.01,34657.83,38733.07,32627.62,36776.95,52414.02,49278.31,37075.31,34779.34,41610.93,36288.91,30200.25,35030.28,34904.81,43134.33,40029.24,46579.27,50710.82,32709.62,36375.85,47571.16,35916.46,35477.82,35261.46,41494.35,42228.39,31772.06,40567.67,35222.93,37434.92,31300.82,39791.15,44793.08,40422.44,41685.03,38131.42,31695.0,44901.75
2011,33595.65,32697.39,33801.82,44379.59,41578.34,61802.71,63666.99,42311.08,39196.21,35493.8,39547.58,32228.9,42322.7,36064.89,41158.25,33377.86,36925.4,53461.88,50419.61,37687.18,36201.37,43187.08,36895.39,30739.22,36570.16,35305.05,47031.78,43428.1,47968.75,51865.73,33623.72,36768.59,49160.3,37571.99,37226.43,36193.63,42610.18,42895.72,32720.62,43197.72,36256.55,39516.61,32624.79,41100.17,46024.14,42040.05,42785.38,39443.04,32909.37,47896.16
2012,33723.65,34357.59,34278.71,45972.02,42854.56,61809.26,63294.81,41411.79,38968.2,35036.21,40469.9,32975.65,43391.56,36892.43,42590.34,33813.94,38035.81,54357.79,50697.63,37819.11,36781.23,44873.31,37876.14,31288.61,37846.67,36687.13,53403.54,43783.15,49265.31,52550.99,33671.37,37267.85,51087.31,38273.42,39061.34,37170.91,43597.81,43871.54,33501.25,42808.94,36856.31,41038.26,33783.53,42087.55,46858.78,42664.47,44992.11,40429.03,33083.05,50153.02
2013,33464.59,33658.21,34194.16,45429.46,43796.36,59984.29,62237.52,41001.56,38159.06,34768.46,40396.4,33410.34,43629.87,36616.69,42901.24,33284.07,37509.94,53484.61,49260.61,37104.94,36678.42,44197.62,37277.04,31172.07,36954.35,35368.01,52058.22,42909.66,48271.02,51925.4,32504.93,36421.2,50972.29,38056.18,39924.05,36965.57,43138.81,43321.21,33010.02,41744.22,36304.28,40592.82,33726.49,41616.08,45354.63,42644.02,44722.34,39965.21,32405.79,49309.25
2014,33956.33,34532.47,34968.02,46986.07,45781.42,61353.7,64751.72,41655.64,39424.6,35719.67,40836.92,34165.84,44623.63,37193.55,42675.6,34049.14,38428.53,54811.26,49719.74,37881.8,37620.83,45180.47,37789.91,31380.71,37319.44,36192.89,53213.33,44445.36,49251.11,53126.95,33723.86,37274.41,52165.8,38743.71,41480.13,38335.72,44075.97,44145.81,33874.55,42274.05,36986.8,42097.62,34621.6,42694.89,46099.35,43305.03,46330.91,40811.19,32880.32,51519.83
2015,34609.72,34779.72,35652.47,49045.44,46338.12,62566.59,66823.94,43388.97,40443.46,36697.94,41755.3,34946.09,45798.11,38167.97,42947.14,35084.27,39057.98,56998.31,50980.93,38905.25,38939.8,46308.11,38502.52,31641.48,38041.6,37082.49,50870.02,44188.08,50842.74,54638.27,34568.81,38175.24,53468.24,39634.36,41472.57,39846.18,45260.82,45500.83,34829.72,43557.16,38297.97,42741.69,35798.83,43809.89,47408.13,44168.08,47247.22,41766.21,33473.34,50944.56
2016,35202.12,35304.41,36110.19,50237.34,46712.73,63738.17,67832.56,43695.99,41113.55,37538.7,41988.42,35090.85,46747.72,39025.53,43552.42,35442.6,39021.04,58447.66,51986.18,39764.91,39792.72,46764.77,39232.81,32245.5,38033.11,37688.55,49385.8,44538.56,52332.54,55604.11,34821.66,39155.64,54317.38,40267.4,40990.62,40422.63,46009.24,46279.33,35412.09,43114.54,38925.03,42743.95,36559.74,44480.24,48205.84,45153.21,47999.46,42420.03,33546.59,49541.93
