,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1948-01-01,20.313927040596,19.87257084072881,13.023625839199005,12.92133325225179,3.608228974607748,3.4311412878506165,111.5127622439394,108.51826685924236,83.7977969768547,83.05518620452585,7.146137847633109,7.137871441317656
1948-04-01,20.60415904397287,20.087337576802312,13.163917364301339,13.013821880746322,3.805049582808698,3.456219152894511,111.2245403581159,108.67554833616256,82.89296436904375,82.30530338075357,7.288080994064424,7.231140992465875
1948-07-01,20.654626273344515,20.30470409859589,13.099600221613702,13.107037122748759,3.8850784157758715,3.481589812764022,111.64516111478453,108.83490934374584,81.97048202137891,81.56264481049305,7.3166312300300325,7.325634582916352
1948-10-01,20.644279800970388,20.52531220254947,13.101429618523857,13.201144779513635,3.779892923189738,3.507578118005317,110.42859957526225,108.99979212064802,81.21898324204125,80.82794616940355,7.389013536139644,7.421410094874337
1949-01-01,20.327437311240672,20.750052235636957,13.069369849487696,13.296310583416723,3.1884263240432915,3.534760904583003,108.38436465919526,109.17539980905285,80.45877812943897,80.1021645055157,7.388793000389052,7.518522029189993
1949-04-01,20.20891512942158,20.97992817564482,13.28979833936401,13.392641431978573,2.699055073338103,3.5638998682876277,106.31833826291397,109.36786146371651,79.50043163448939,79.3864598675557,7.469443510108855,7.617006232448327
1949-07-01,20.35988180062833,21.215714327810662,13.265866866903835,13.49010199180675,2.9506977757734822,3.595551653496673,104.90230023405273,109.58285715200621,78.41452689337528,78.68216697726966,7.627743758956716,7.716815756835944
1949-10-01,20.13148351412398,21.457716142550666,13.40841738606027,13.588590216496696,2.7871809697746244,3.6296649776604735,104.17315808502762,109.82418164086049,77.4078245926392,77.99064067977844,7.610788838936866,7.817804849509194
1950-01-01,20.861761376239766,21.705692551255037,13.588507523971177,13.68785746223675,3.4728249411662397,3.6657365658224887,104.68214200946552,110.09267563697304,76.37947022447281,77.31302111659245,7.898813194172796,7.919761966184362
1950-04-01,21.439225658903645,21.95851340757202,13.79204701527691,13.787532591179579,3.8606893273012908,3.702633340545347,106.98552478170538,110.38556161241353,75.55898918924983,76.65004718148559,8.033736207115794,8.022329462080407
1950-07-01,22.21951765277344,22.214442433608383,14.457507754165425,13.887170308506805,4.228337010109548,3.739050042765677,110.1235984658997,110.69656148447429,74.89584447097285,76.00185330352654,8.196379387299434,8.125117547988866
